x,y
0.416,0.417
0.419,0.102
0.422,0.320
0.425,0.104
0.428,0.149
0.431,0.662
0.434,0.790
0.438,0.693
0.441,0.963
0.444,0.052
0.447,0.016
0.450,0.870
0.453,0.785
0.456,0.368
0.459,0.601
0.463,0.158
0.466,0.781
0.469,0.907
0.472,0.092
0.475,0.131
0.478,0.946
0.481,0.066
0.484,0.021
0.488,0.175
0.491,0.570
0.494,0.112
0.497,0.311
0.500,0.667
0.503,0.960
0.506,0.540
0.509,0.075
0.512,0.566
0.516,0.342
0.519,0.989
0.522,0.329
0.525,0.944
0.528,0.184
0.531,0.882
0.534,0.004
0.537,0.289
0.541,0.706
0.544,0.737
0.547,0.825
0.550,0.049
0.553,0.434
0.556,0.862
0.559,0.561
0.562,0.689
0.566,0.076
0.569,0.395
0.572,0.619
0.575,0.107
0.578,0.285
0.581,0.452
0.584,0.610
0.587,0.803
0.590,0.245
0.594,0.346
0.597,0.719
0.600,0.237
0.603,0.491
0.606,0.891
0.609,0.447
0.612,0.061
0.615,0.080
0.619,0.193
0.622,0.042
0.625,0.958
0.628,0.654
0.631,0.509
0.634,0.504
0.637,0.135
0.640,0.099
0.644,0.487
0.647,0.078
0.650,0.929
0.653,0.012
0.656,0.728
0.659,0.500
0.662,0.531
0.665,0.302
0.668,0.215
0.672,0.338
0.675,0.024
0.678,0.377
0.681,0.263
0.684,0.373
0.687,0.083
0.690,0.970
0.693,0.316
0.697,0.109
0.700,0.746
0.703,0.333
0.706,0.259
0.709,0.869
0.712,0.106
0.715,0.298
0.718,0.121
0.721,0.040
0.725,0.465
0.728,0.588
0.731,0.597
0.734,0.847
0.737,0.125
0.740,0.856
0.743,0.425
0.746,0.544
0.750,0.981
0.753,0.965
0.756,0.056
0.759,0.137
0.762,0.951
0.764,0.399
0.767,0.927
0.770,0.605
0.773,0.941
0.776,0.456
0.779,0.592
0.782,0.007
0.785,0.979
0.787,0.126
0.790,0.386
0.793,0.071
0.796,0.018
0.799,0.068
0.802,0.863
0.805,1.000
0.807,0.100
0.810,0.922
0.813,0.294
0.816,0.884
0.819,0.028
0.822,0.905
0.825,0.998
0.828,0.875
0.830,0.355
0.833,0.482
0.836,0.408
0.839,0.526
0.842,0.250
0.845,0.522
0.848,0.011
0.851,0.081
0.853,0.030
0.856,0.037
0.859,0.381
0.862,0.439
0.865,0.715
0.868,0.023
0.871,0.460
0.874,0.412
0.876,0.307
0.879,0.934
0.882,0.254
0.885,0.088
0.888,0.583
0.891,0.281
0.894,0.241
0.896,0.733
0.899,0.548
0.902,0.986
0.905,0.888
0.908,0.033
0.911,0.900
0.914,0.898
0.917,0.860
0.919,0.763
0.922,0.772
0.925,0.267
0.928,0.180
0.931,0.627
0.934,0.632
0.937,0.210
0.940,0.575
0.942,0.496
0.945,0.360
0.948,0.877
0.951,0.676
0.954,0.166
0.957,0.324
0.960,0.031
0.963,0.993
0.965,0.649
0.968,0.111
0.971,0.816
0.974,0.920
0.977,0.931
0.980,0.962
0.983,0.133
0.986,0.982
0.988,0.939
1.012,0.984
1.020,0.912
1.029,0.093
1.037,0.153
1.046,0.641
1.055,0.140
1.063,0.333
1.072,0.078
1.081,0.011
1.089,0.770
1.098,0.243
1.106,0.371
1.115,0.104
1.124,0.083
1.132,0.042
1.141,0.860
1.149,0.989
1.158,0.281
1.167,0.932
1.175,0.135
1.184,0.969
1.193,0.114
1.201,0.016
1.210,0.577
1.218,0.958
1.227,0.590
1.236,0.057
1.244,0.783
1.253,0.809
1.262,0.564
1.272,0.099
1.281,0.191
1.290,0.719
1.299,0.461
1.308,0.539
1.317,0.744
1.326,0.109
1.336,0.423
1.345,0.119
1.354,0.974
1.363,0.875
1.372,0.526
1.381,0.130
1.390,0.346
1.400,0.917
1.409,0.891
1.418,0.204
1.427,0.886
1.436,0.847
1.445,0.052
1.454,0.449
1.463,0.927
1.473,0.031
1.482,0.693
1.491,0.088
1.500,0.870
1.509,0.922
1.518,0.037
1.527,0.307
1.537,0.384
1.546,0.680
1.555,0.603
1.564,0.706
1.573,0.907
1.582,0.436
1.591,0.796
1.600,0.062
1.610,0.256
1.619,0.994
1.628,0.757
1.637,0.474
1.646,0.125
1.655,0.654
1.664,0.943
1.674,0.021
1.683,0.834
1.692,0.821
1.701,0.006
1.710,0.068
1.719,0.047
1.728,0.629
1.738,0.731
1.747,0.410
1.756,0.073
1.764,0.616
1.773,0.938
1.782,0.359
1.790,0.230
1.799,0.269
1.807,0.487
1.816,0.179
1.825,0.896
1.833,0.166
1.842,0.667
1.851,0.500
1.859,0.320
1.868,0.294
1.876,0.217
1.885,0.026
1.894,0.953
1.902,1.000
1.911,0.513
1.919,0.948
1.928,0.865
1.937,0.963
1.945,0.979
1.954,0.901
1.963,0.881
1.971,0.551
1.980,0.000
1.988,0.397
2.012,0.907
2.037,1.000
2.063,0.788
2.089,0.644
2.115,0.891
2.141,0.680
2.167,0.875
2.193,0.984
2.218,0.047
2.244,0.938
2.270,0.500
2.295,0.320
2.321,0.752
2.347,0.922
2.372,0.464
2.398,0.356
2.423,0.078
2.449,0.248
2.474,0.062
2.500,0.953
2.526,0.016
2.551,0.284
2.577,0.860
2.602,0.428
2.628,0.572
2.653,0.125
2.679,0.969
2.705,0.392
2.730,0.140
2.756,0.824
2.782,0.031
2.807,0.093
2.833,0.608
2.859,0.716
2.885,0.176
2.911,0.212
2.937,0.536
2.963,0.109
2.988,0.000
3.012,0.093
3.089,0.047
3.167,0.000
3.244,0.680
3.308,0.860
3.372,0.770
3.436,0.907
3.500,0.590
3.564,0.500
3.628,0.140
3.692,0.320
3.756,0.410
3.833,1.000
3.911,0.953
3.988,0.230
4.012,0.140
4.244,1.000
4.372,0.000
4.500,0.500
4.628,0.680
4.756,0.860
4.988,0.320
